term,zh,frequency
hp,血量,73
capsuleers,飞行员,24
new eden,新伊甸,18
character,角色,15
npcs,非玩家角色,15
lowsec,低安,14
plex,伊甸币,13
missions,任务,12
wormholes,虫洞,12
squadron size,小队编制,12
shield capacity,护盾容量,12
bonus,加成,12
highsec,高安,11
items,物品,11
standings,声望,11
ore,联合矿业,11
watchlist,舰队关注列表,11
warpath,战争之路,9
fighters,护卫舰,9
ship restrictions,舰船限制,7
structures,建筑,6
aura guidance,奥拉指引,6
fw missions,势力战争任务,6
booster amount,加成量,6
isk,冰岛克朗,6
prismaticite,多棱水晶体,6
cargo bay capacity,货舱隔间容量,5
explosive damage,爆能伤害,5
skill level,技能水平,5
odysseus,奥德修斯级,5
combat sites,战斗点,5
winter nexus,冰雪节,5
keepstar,星城,5
node,节点,5
war grid,战争网格点,4
fw,势力战争,4
acceleration gates,加速轨道,4
carriers,航母,4
gallente election campaign buses,盖伦特竞选巴士,4
boosters,加成药,4
dps role bonus,秒伤加成,4
armor plate bonus,装甲板加成,4
shield extender bonus,护盾容量加成,4
pochven,波赫文,4
faction modules,势力模块,3
amarr,艾玛,3
low-security space,低安,3
sentry guns,岗哨炮台,3
gallente federation,盖伦特联邦,3
minmatar,米玛塔尔,3
pulse cannon em damage,加农炮电能伤害,3
blaster cannon kinetic damage,中子炮动能伤害,3
blaster cannon thermal damage,中子炮热能伤害,3
skills,技能,3
npc stations,非玩家空间站,3
data sites,数据点,3
thermal damage,热能伤害,2
loot,掉落,2
t2 triglavian salvage,T2级别三神裔打捞,2
undock,出站,2
safe sandbox environment,安全的沙盒环境,1
new player experiences,新玩家体验,1
supply caches,补给隐藏处,1
t1 cruisers,T1级别巡洋舰,1
high security space,高安,1
amarr empire,艾玛帝国,1
energy turret damage,能量炮塔伤害,1
caldari state,加达里合众国,1
projectile turret falloff,射弹炮塔失准,1
c1-c3 wormhole systems,C1至C3级别虫洞星系,1
c4,C4级别虫洞星系,1
c5,C5级别虫洞星系,1
c6 wormhole systems,C6级别虫洞星系,1
t1 frigates,T1级别护卫舰,1
cosmic signature,异常信号,1
